dp,depto_nom,anio,pib_miles_millones,pob_total,pib_pc,ln_pib_pc,expulsados_total,recibidos_total,eventos_total,expulsados_adol,tasa_expulsion,tasa_expul_adol,ln_expulsados,ln_expul_adol,expul_acum,cuartil_conflicto,alta_intensidad
05,Antioquia,1993,54841.13842300564,4607874,11901614.155032372,16.29218459216307,25589,18143,25889,2072,5.553320251378401,0.449665073307126,10.149956929153834,7.636752112435779,1697784,4,1
05,Antioquia,1994,56020.89132718046,4679652,11971166.088243412,16.298011490353566,28581,22877,28862,2531,6.10750542989094,0.5408521830255754,10.26053242804174,7.836764783264067,1697784,4,1
05,Antioquia,1995,58771.01923613683,4753428,12363923.306745538,16.330293379266468,66142,55163,67504,6388,13.914589639308726,1.3438722538765706,11.09957434383794,8.762333040602343,1697784,4,1
05,Antioquia,1996,60358.37753960794,4828617,12500137.728796454,16.341250220515544,69888,67698,70946,6287,14.473709552859546,1.3020291317368928,11.154663548170214,8.746398334109042,1697784,4,1
05,Antioquia,1997,62716.31711785048,4904267,12788112.294426562,16.364026570357797,95659,122704,97888,8555,19.505259399620776,1.744399315942627,11.468555517234288,9.054388070202297,1697784,4,1
05,Antioquia,1998,61180.94564687881,4979394,12286825.595017951,16.324038156480064,81883,74504,83278,6780,16.444370539868906,1.3616114732033657,11.313058890560512,8.821879862683842,1697784,4,1
05,Antioquia,1999,58760.61182943638,5053418,11627894.591232385,16.26891747553832,61931,64036,62743,5387,12.255269601683453,1.0660111631375042,11.033792287936727,8.591929537530255,1697784,4,1
05,Antioquia,2000,60678.841874691796,5125644,11838286.442580054,16.286849450812856,145221,136785,154571,12267,28.332244689642902,2.393260242030075,11.886018885047086,9.414749525234143,1697784,4,1
05,Antioquia,2001,61967.47020578806,5195638,11926825.96550954,16.294300703814333,151559,135435,157746,12468,29.170431042347445,2.3997052912462338,11.928736865132537,9.431000842996585,1697784,4,1
05,Antioquia,2002,63369.2031916373,5263667,12038984.075481467,16.303660615171996,115374,102803,119929,9938,21.918939780954986,1.888037370145186,11.655942971805153,9.204221690968005,1697784,4,1
05,Antioquia,2003,66142.01270425641,5330340,12408591.704142027,16.333899670011473,69480,63026,71583,6249,13.034815790362341,1.1723454789000327,11.14880861288244,8.740336742730447,1697784,4,1
05,Antioquia,2004,70484.15999652466,5396150,13061934.89738511,16.3852128253093,62447,58253,64729,5842,11.57251003029938,1.0826237224687973,11.042089489420396,8.672999642554437,1697784,4,1
05,Antioquia,2005,73922.53278607492,5460843,13536835.390813272,16.42092507514816,64531,59176,65888,6118,11.81703996983616,1.1203398449653286,11.074916503786035,8.71915396346254,1697784,4,1
05,Antioquia,2006,79223.68184629046,5528121,14331032.523761775,16.47793785050674,55856,53544,56716,5641,10.103975654657342,1.0204190537797564,10.930550132364163,8.637993891561942,1697784,4,1
05,Antioquia,2007,84784.03289295542,5595180,15153048.318902237,16.533712278848267,54185,49712,55086,5797,9.684228210709932,1.0360703319642979,10.900177851478853,8.6652683094816,1697784,4,1
05,Antioquia,2008,86215.88964942603,5662099,15226842.492408916,16.538570381802003,55215,51124,55795,6583,9.751683960312246,1.1626430410347823,10.919008045337785,8.792397742356906,1697784,4,1
05,Antioquia,2009,85660.0106905345,5730377,14948407.528952196,16.520115332324803,42769,40127,43090,5311,7.463557807802174,0.9268151118155054,10.663592201220954,8.57772369115627,1697784,4,1
05,Antioquia,2010,88492.49504848177,5800160,15256905.852335412,16.54054280129144,48694,45570,49205,6238,8.39528564729249,1.0754875727566136,10.7933316343953,8.738575192110787,1697784,4,1
05,Antioquia,2011,95753.27358456491,5869191,16314560.828667004,16.607568569392093,59592,59922,60292,7870,10.153358444119469,1.340900304658683,10.99529339649126,8.97094039814245,1697784,4,1
05,Antioquia,2012,99628.81171930865,5935916,16784066.977920283,16.635940600191777,49192,48779,49927,6869,8.287179266013872,1.1571929252368125,10.803506615935385,8.834919385216395,1697784,4,1
05,Antioquia,2013,104011.82362270335,6001151,17331979.08579593,16.66806385515969,50509,50424,51285,7943,8.416552091423794,1.3235794266799819,10.829926615462098,8.980172205725008,1697784,4,1
05,Antioquia,2014,111128.94804581454,6066806,18317537.76959648,16.723369506954704,36720,38747,37077,5500,6.052608242294215,0.9065725853109527,10.51110407747908,8.612685172875459,1697784,4,1
05,Antioquia,2015,115446.2569833156,6134953,18817789.962419532,16.750313254961398,30295,30104,30582,4623,4.938098140279151,0.7535510051992248,10.31877096958163,8.439015410352214,1697784,4,1
05,Antioquia,2016,119046.3841149867,6211312,19166060.908707645,16.768651611836948,19173,19964,19357,2767,3.0867874613286213,0.4454775416208363,9.861310473636943,7.92588031673756,1697784,4,1
05,Antioquia,2017,120973.26658047568,6296843,19211733.019304387,16.77103174511108,16833,18857,17044,2319,2.6732443543534434,0.36827978718859594,9.731155929771521,7.749322464660356,1697784,4,1
05,Antioquia,2018,125172.9567513896,6407149,19536451.66538028,16.78779259471014,35253,30790,35843,5106,5.502135193047641,0.7969223128726989,10.470334276979898,8.538367426647644,1697784,4,1
05,Antioquia,2019,129671.98068228063,6518070,19894229.53148411,16.805940274352082,29392,28322,29789,4099,4.5093102712919615,0.628867133982912,10.288511829739507,8.318742252692399,1697784,4,1
05,Antioquia,2020,121247.01609385105,6642072,18254396.53377004,16.719916514939595,19593,15807,19790,2703,2.949832522140681,0.4069513248275538,9.882978675904587,7.902487437162855,1697784,4,1
05,Antioquia,2021,137020.32961372682,6721140,20386471.58275632,16.830382081120085,31441,21718,32379,4108,4.677926661250918,0.611205837105015,10.35589985775146,8.32093496888341,1697784,4,1
05,Antioquia,2022,146040.20836687976,6777249,21548597.132388044,16.88582127412999,24787,21209,24999,3279,3.657383696541178,0.48382463149870986,10.118114944081999,8.09559870137819,1697784,4,1
08,Atlántico,1993,15976.887092384764,1681570,9501172.768534621,16.06692579827096,44,2050,44,5,0.02616602341859096,0.0029734117521126088,3.8066624897703196,1.791759469228055,23881,1,0
08,Atlántico,1994,18202.945432986617,1722771,10566085.354923328,16.173159934936436,105,2036,105,7,0.06094832104789319,0.00406322140319288,4.663439094112067,2.0794415416798357,23881,1,0
08,Atlántico,1995,19356.012085636,1763028,10978845.534861613,16.211480845973313,62,2660,65,3,0.0351667698981525,0.0017016178982977015,4.143134726391533,1.3862943611198906,23881,1,0
08,Atlántico,1996,19587.5685668304,1802161,10868933.778297499,16.201419165813313,166,5146,171,19,0.09211163708458901,0.010542898220525248,5.117993812416755,2.995732273553991,23881,1,0
08,Atlántico,1997,20647.424700964933,1840322,11219463.061879896,16.23316060146629,225,9361,228,21,0.1222612129833801,0.011411046545115473,5.420534999272286,3.091042453358316,23881,1,0
08,Atlántico,1998,20157.260431476858,1877606,10735617.819434354,16.18907753951921,207,12239,207,16,0.11024677168692473,0.008521489598989351,5.337538079701318,2.833213344056216,23881,1,0
